Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
135,23,214,3,11,6,6,14,1,18,0,3,210,2012,403,417
135,253,212,3,49,6,5,16,1,22,0,6,134,2011,365,420
195,245,3,2,12,6,7,28,1,42,1,4,219,2012,138,148
117,105,216,2,77,5,2,28,1,39,0,9,247,2012,140,128
186,202,227,2,137,4,1,26,1,34,0,22,193,2011,132,128
132,225,118,0,10,6,6,17,1,23,0,3,102,2011,265,223
135,23,214,3,11,6,6,14,1,20,0,3,8,2010,403,417
148,98,194,0,62,6,5,20,1,29,0,7,243,2012,182,172
168,125,209,1,59,6,5,12,1,17,0,6,28,2010,310,365
82,102,237,1,26,6,5,11,0,16,0,4,21,2010,315,335
138,176,237,1,150,6,6,13,1,17,0,22,200,2011,381,401
157,37,244,2,131,6,7,15,0,23,1,19,273,2012,220,258
104,22,72,3,86,5,3,20,1,30,0,10,50,2010,210,223
163,89,237,1,150,6,6,12,1,17,0,22,197,2011,381,401
214,241,173,2,142,5,2,17,1,23,0,22,88,2010,266,245
163,89,237,3,148,6,6,14,1,20,0,22,197,2011,310,327
24,253,212,3,54,4,0,15,1,19,0,6,29,2010,248,294
214,241,173,2,142,5,2,17,1,23,0,22,88,2010,266,245
148,148,19,3,135,4,0,19,1,25,0,21,190,2011,166,162
82,102,237,1,27,6,5,11,0,16,0,4,117,2011,315,338
