Days since outbreak,Location.Retail,Location.Grocery,Location.Parks,Location.Public transport,Location.Workplace,Location.Residential
81,-56.286,-32.714,-28.714,-52.571,-45.429,15.0
185,-9.0,-8.857,-41.0,-32.857,-0.286,5.571
178,-37.0,-21.429,-33.143,-51.857,-30.714,14.714
195,-50.286,-23.571,-30.286,-58.143,-37.0,22.143
133,-71.0,-24.857,-50.0,-68.571,-35.857,19.857
64,-2.0,0.714,-0.286,-0.429,3.286,1.0
220,-15.286,-3.143,66.0,-33.429,-27.429,3.0
70,-0.286,1.571,12.714,-3.286,-0.857,1.0
123,-28.0,-13.0,-18.571,-27.429,-16.0,8.429
126,-57.571,-26.286,-2.286,-47.0,-45.143,13.143
48,1.25,-2.75,0.75,4.0,4.5,0.75
49,4.2,0.4,14.6,-0.4,-4.2,0.8
78,-49.714,3.571,5.857,-42.286,-36.714,14.571
211,-1.857,7.143,5.714,-10.571,-6.857,1.429
98,-36.429,-25.143,-18.714,-44.0,-22.143,19.429
134,-42.857,-25.0,-47.714,-56.571,-24.0,18.286
183,-24.714,-4.857,-24.714,-47.429,-25.857,16.0
219,-35.857,-21.571,-32.857,-46.571,-34.857,15.143
119,-67.429,-54.429,-29.714,-72.429,-47.571,28.857
90,-86.0,-53.857,-83.0,-82.286,-68.571,31.571
